,tweet_id,text,retweeted_status_id,retweeted_status_user_id,expanded_urls,rating_numerator,rating_denominator,rt_date,rt_year,rt_month,rt_day,rt_time,t_time_a,rt_time_a,clean_source,internet_nickname,clean_name,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count,Actual_Rating
180,857062103051644929,RT @AaronChewning: First time wearing my @dog_rates hat on a flight and I get DOUBLE OPEN ROWS. Really makes you think. 13/10 https://t.co/…,8.57061112319234e+17,58709723.0,https://twitter.com/AaronChewning/status/857061112319234050/photo/1,13,10,2017-04-26,2017.0,4.0,26.0,02:37:47 ,2,2.0,Twitter for iPhone,,None,,,,,,,,,,,,0.0,146.0,1.3
182,856602993587888130,RT @dog_rates: This is Luna. It's her first time outside and a bee stung her nose. Completely h*ckin uncalled for. 13/10 where's the bee I…,8.44704788403114e+17,4196983835.0,https://twitter.com/dog_rates/status/844704788403113984/photo/1,13,10,2017-03-23,2017.0,3.0,23.0,00:18:10 ,20,0.0,Twitter for iPhone,,Luna,,,,,,,,,,,,,,1.3
185,856330835276025856,RT @Jenna_Marbles: @dog_rates Thanks for rating my cermets 14/10 wow I'm so proud I watered them so much,8.563301587682181e+17,66699013.0,,14,10,2017-04-24,2017.0,4.0,24.0,02:13:14 ,2,2.0,Twitter for iPhone,,None,,,,,,,,,,,,,,1.4
194,855245323840757760,RT @dog_rates: Meet George. He looks slightly deflated but overall quite powerful. Not sure how that human restrained him. 12/10 would snug…,8.421635325903749e+17,4196983835.0,"https://twitter.com/dog_rates/status/842163532590374912/photo/1,https://twitter.com/dog_rates/status/842163532590374912/photo/1",12,10,2017-03-16,2017.0,3.0,16.0,00:00:07 ,2,0.0,Twitter for iPhone,,George,,,,,,,,,,,,0.0,5251.0,1.2
195,855138241867124737,RT @frasercampbell_: oh my... what's that... beautiful scarf around your neck... 14/10 a h*ckin good dog in a h*ckin good game @GoodDogsGam…,8.551225332674601e+17,7.475543444348314e+17,https://twitter.com/frasercampbell_/status/855122533267460096/photo/1,14,10,2017-04-20,2017.0,4.0,20.0,18:14:33 ,19,18.0,Twitter for iPhone,,None,,,,,,,,,,,,,,1.4
204,852936405516943360,"RT @dog_rates: I usually only share these on Friday's, but this is Blue. He's a very smoochable pooch who needs your help. 13/10

https://t…",8.316500515250545e+17,4196983835.0,"http://www.gofundme.com/bluethewhitehusky,https://twitter.com/dog_rates/status/831650051525054464/photo/1,https://twitter.com/dog_rates/status/831650051525054464/photo/1,https://twitter.com/dog_rates/status/831650051525054464/photo/1,https://twitter.com/dog_rates/status/831650051525054464/photo/1",13,10,2017-02-14,2017.0,2.0,14.0,23:43:18 ,17,23.0,Twitter for iPhone,,None,,,,,,,,,,,,0.0,1783.0,1.3
211,851953902622658560,RT @dog_rates: This is Astrid. She's a guide doggo in training. 13/10 would follow anywhere https://t.co/xo7FZFIAao,8.29374341691347e+17,4196983835.0,"https://twitter.com/dog_rates/status/829374341691346946/photo/1,https://twitter.com/dog_rates/status/829374341691346946/photo/1,https://twitter.com/dog_rates/status/829374341691346946/photo/1,https://twitter.com/dog_rates/status/829374341691346946/photo/1",13,10,2017-02-08,2017.0,2.0,8.0,17:00:26 ,0,17.0,Twitter for iPhone,doggo,Astrid,https://pbs.twimg.com/media/C4KHj-nWQAA3poV.jpg,1.0,Staffordshire_bullterrier,0.757547,True,American_Staffordshire_terrier,0.14995,True,Chesapeake_Bay_retriever,0.0475227,True,,,1.3
212,851861385021730816,RT @eddie_coe98: Thanks @dog_rates completed my laptop. 10/10 would buy again https://t.co/bO0rThDlXI,8.482893821761004e+17,341021133.0,"https://twitter.com/eddie_coe98/status/848289382176100353/photo/1,https://twitter.com/eddie_coe98/status/848289382176100353/photo/1",10,10,2017-04-01,2017.0,4.0,1.0,21:42:03 ,18,21.0,Twitter for iPhone,,None,https://pbs.twimg.com/media/C8W6sY_W0AEmttW.jpg,1.0,pencil_box,0.662183,False,purse,0.0665055,False,pillow,0.0447253,False,,,1.0
222,849668094696017920,RT @dog_rates: This is Gidget. She's a spy pupper. Stealthy as h*ck. Must've slipped pup and got caught. 12/10 would forgive then pet https…,8.331246945974436e+17,4196983835.0,"https://twitter.com/dog_rates/status/833124694597443584/photo/1,https://twitter.com/dog_rates/status/833124694597443584/photo/1,https://twitter.com/dog_rates/status/833124694597443584/photo/1",12,10,2017-02-19,2017.0,2.0,19.0,01:23:00 ,17,1.0,Twitter for iPhone,pupper,Gidget,,,,,,,,,,,,0.0,4435.0,1.2
230,847978865427394560,RT @dog_rates: This is Charlie. He fell asleep on a heating vent. Would puppreciate your assistance. 11/10 someone help Charlie https://t.c…,8.323698773316936e+17,4196983835.0,https://twitter.com/dog_rates/status/832369877331693569/photo/1,11,10,2017-02-16,2017.0,2.0,16.0,23:23:38 ,1,23.0,Twitter for iPhone,,Charlie,,,,,,,,,,,,0.0,2914.0,1.1
